season,week,game_id,kickoff,kickoff_mt,team,team_side,player_rank,player_id,player_name,jersey_number,games_sampled,projected_sacks,projected_qb_hits,projected_tfl,projected_blocked_punts,projected_loss_yards,penalties_per_game,penalty_count,penalty_yards
2026,2,2026_02_MIN_CHI,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,MIN,away,2,00-0035272,A.Van Ginkel,43.0,25,0.74,1.28,1.16,0.0,11.14,1.0,1,5.0
2026,2,2026_02_MIN_CHI,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,MIN,away,3,00-0039924,D.Turner,15.0,15,0.73,1.33,0.93,0.0,10.6,1.0,8,74.0
2026,2,2026_02_MIN_CHI,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,MIN,away,4,00-0033336,E.Wilson,55.0,29,0.5,1.0,1.21,0.03,9.47,1.0,6,74.0
2026,2,2026_02_MIN_CHI,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,MIN,away,5,00-0037301,Th.Jackson,26.0,4,0.5,0.75,0.75,0.0,10.25,0.0,0,0.0
2026,2,2026_02_MIN_CHI,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,MIN,away,6,00-0038778,J.Redmond,61.0,14,0.5,0.64,1.29,0.0,9.21,1.0,2,10.0
2026,2,2026_02_MIN_CHI,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,MIN,away,7,00-0040173,T.Ingram-Dawkins,90.0,2,0.5,0.5,1.0,0.0,7.0,1.0,1,5.0
2026,2,2026_02_MIN_CHI,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,MIN,away,8,00-0035276,B.Cashman,51.0,15,0.43,0.93,0.8,0.0,6.27,1.0,1,15.0
2026,2,2026_02_MIN_CHI,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,MIN,away,9,00-0029606,H.Smith,22.0,67,0.32,0.67,0.76,0.0,5.85,1.0,27,292.0
2026,2,2026_02_MIN_CHI,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,MIN,away,10,00-0038807,I.Pace,0.0,21,0.31,1.05,0.52,0.0,3.17,1.0,8,92.0
2026,2,2026_02_CIN_HOU,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,HOU,home,1,00-0031565,D.Hunter,55.0,27,1.0,1.67,1.19,0.0,15.83,1.0,4,30.0
2026,2,2026_02_CIN_HOU,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,HOU,home,2,00-0039108,W.Anderson,51.0,42,0.71,1.52,1.1,0.0,12.15,1.1,11,75.0
2026,2,2026_02_CIN_HOU,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,HOU,home,3,00-0032759,S.Rankins,98.0,15,0.6,1.27,0.93,0.0,9.47,0.0,0,0.0
2026,2,2026_02_CIN_HOU,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,HOU,home,4,00-0032265,M.Edwards,97.0,11,0.41,1.09,0.45,0.0,8.05,1.0,7,75.0
2026,2,2026_02_CIN_HOU,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,HOU,home,5,00-0036883,T.Togiai,72.0,10,0.3,0.7,0.8,0.0,5.2,1.0,1,6.0
2026,2,2026_02_CIN_HOU,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,HOU,home,6,00-0035166,A.Al-Shaair,0.0,9,0.22,1.0,0.89,0.0,2.11,1.25,5,41.0
2026,2,2026_02_CIN_HOU,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,HOU,home,7,00-0038599,H.To'oTo'o,39.0,19,0.21,0.32,0.95,0.0,4.32,1.25,5,36.0
2026,2,2026_02_CIN_HOU,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,HOU,home,8,00-0037237,D.Stingley,24.0,6,0.17,0.0,1.0,0.0,2.0,1.091,12,141.0
2026,2,2026_02_CIN_HOU,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,HOU,home,9,00-0037246,J.Pitre,5.0,19,0.05,0.26,1.05,0.0,3.37,1.0,11,121.0
2026,2,2026_02_CIN_HOU,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,HOU,home,10,00-0039343,K.Lassiter,3.0,8,0.0,0.12,1.38,0.0,4.12,1.0,6,55.0
2026,2,2026_02_CIN_HOU,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,CIN,away,1,00-0039908,K.Jenkins,90.0,7,0.64,1.14,0.71,0.0,6.43,1.0,1,1.0
2026,2,2026_02_CIN_HOU,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,CIN,away,2,00-0038546,M.Murphy,99.0,15,0.57,1.13,0.67,0.0,4.93,1.5,3,25.0
2026,2,2026_02_CIN_HOU,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,CIN,away,3,00-0040738,D.Knight,44.0,6,0.5,0.83,0.67,0.0,5.17,1.0,1,5.0
2026,2,2026_02_CIN_HOU,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,CIN,away,4,00-0039752,C.Johnson,52.0,7,0.43,1.29,0.43,0.0,5.14,1.0,1,15.0
2026,2,2026_02_CIN_HOU,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,CIN,away,5,00-0036642,T.Slaton,98.0,7,0.43,1.0,0.57,0.0,5.57,0.0,0,0.0
2026,2,2026_02_CIN_HOU,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,CIN,away,6,00-0034800,B.Hill,92.0,53,0.38,1.17,0.45,0.0,4.6,1.0,7,37.0
2026,2,2026_02_CIN_HOU,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,CIN,away,7,00-0034446,J.Davis,35.0,3,0.33,0.67,0.67,0.0,7.33,1.0,4,35.0
2026,2,2026_02_CIN_HOU,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,CIN,away,8,00-0040756,S.Stewart,94.0,4,0.25,1.0,0.5,0.0,3.25,0.0,0,0.0
2026,2,2026_02_CIN_HOU,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,CIN,away,9,00-0038560,J.Battle,27.0,8,0.25,0.5,0.88,0.0,3.88,0.0,0,0.0
2026,2,2026_02_CIN_HOU,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,CIN,away,10,00-0037743,D.Hill,23.0,11,0.23,0.64,0.82,0.0,3.55,1.111,10,108.0
2026,2,2026_02_PIT_NE,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,NE,home,1,00-0039692,D.Pettus,24.0,2,1.0,1.0,1.0,0.0,19.0,1.0,3,20.0
2026,2,2026_02_PIT_NE,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,NE,home,2,00-0040574,E.Ponder,91.0,5,0.8,1.0,0.8,0.0,6.4,1.0,3,30.0
2026,2,2026_02_PIT_NE,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,NE,home,3,00-0036981,C.Barmore,90.0,35,0.44,1.26,0.66,0.0,6.29,1.0,3,35.0
2026,2,2026_02_PIT_NE,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,NE,home,4,00-0036916,M.Williams,97.0,9,0.39,0.89,0.89,0.0,6.11,0.0,0,0.0
2026,2,2026_02_PIT_NE,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,NE,home,5,00-0039147,C.Gonzalez,0.0,4,0.25,0.5,0.75,0.0,4.5,1.0,3,44.0
2026,2,2026_02_PIT_NE,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,NE,home,6,00-0034720,R.Spillane,14.0,4,0.25,0.0,1.0,0.0,3.0,0.0,0,0.0
2026,2,2026_02_PIT_NE,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,NE,home,7,00-0037253,Ma.Jones,25.0,9,0.22,0.22,1.22,0.0,4.11,1.0,3,26.0
2026,2,2026_02_PIT_NE,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,NE,home,8,00-0036813,C.Elliss,53.0,7,0.21,1.14,0.14,0.0,3.21,1.0,4,38.0
2026,2,2026_02_PIT_NE,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,NE,home,9,00-0039289,L.Taylor,93.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
2026,2,2026_02_PIT_NE,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,NE,home,10,00-0034778,C.Davis,7.0,4,0.0,0.25,0.75,0.0,2.25,1.125,9,117.0
2026,2,2026_02_PIT_NE,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,PIT,away,1,00-0033886,T.Watt,90.0,114,1.01,2.14,1.19,0.0,12.28,1.1,33,268.0
2026,2,2026_02_PIT_NE,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,PIT,away,2,00-0036333,A.Highsmith,56.0,60,0.75,1.52,1.07,0.0,10.0,1.056,19,145.0
2026,2,2026_02_PIT_NE,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,PIT,away,3,00-0040678,D.Harmon,99.0,4,0.75,1.25,0.25,0.0,3.25,1.0,1,15.0
2026,2,2026_02_PIT_NE,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,PIT,away,4,00-0033055,J.Ramsey,5.0,4,0.75,1.0,1.0,0.0,12.25,1.0,5,34.0
2026,2,2026_02_PIT_NE,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,PIT,away,5,00-0027969,C.Heyward,97.0,149,0.62,1.37,0.93,0.0,8.33,1.032,32,250.0
2026,2,2026_02_PIT_NE,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,PIT,away,6,00-0038577,Ni.Herbig,51.0,26,0.62,1.23,0.88,0.0,10.1,1.0,6,45.0
