feature,model_importance,permutation_importance,permutation_std
snaps_defense_pct_rolling3_diff,0.008066861,-0.0005552443688930265,0.001586441137359757
inj_out_rolling3_diff,0.0034971451,-0.0005781203206081997,0.002368144919405388
roster_rotowire_id_rolling3_diff,0.011023506,-0.0005823583824673184,0.0006378929470980042
roster_rotowire_id_diff,0.008977933,-0.0005866380483401601,0.0001565446161698616
passing_1st_diff,0.0038483122,-0.0006167264230670488,0.0004552687770906559
inj_practice_limited_delta_diff,0.0034489085,-0.0006488846787967573,0.0022896462570588345
inj_doubtful_diff,0.00079679216,-0.000682887704627122,0.0007272189665566118
roster_years_exp_rolling3_diff,0.010399315,-0.000737232756870454,0.00036179695888511747
inj_doubtful_pct_change_diff,0.00517142,-0.00073833136197623,0.0007508100863563989
scoring_rshtd_diff,0.0047761747,-0.0008178698285912,0.004128470724124682
passing_1stpct_diff,0.002923298,-0.000835575479432138,0.0010721439211356539
inj_practice_full_diff,0.001966144,-0.0009321089343789612,0.001412475336920717
pass_plays_proxy_diff,0.0029574714,-0.0009507304053911314,0.001639115296441399
receiving_40+_diff,0.002539479,-0.0009735297384587449,0.0004636811782645639
snaps_defense_pct_diff,0.0055802013,-0.0009743141455995863,0.0011935057538707934
snaps_offense_pct_prev_diff,0.002437415,-0.0010537432943021675,0.0003959294682807462
plays_allowed_diff,0.0035679268,-0.0010659747752732374,0.00359548593239424
snaps_offense_snaps_pct_change_diff,0.012139519,-0.0010667323682058472,0.001410480445513398
inj_out_diff,0.000886894,-0.0010887043982819478,0.00129907759512829
inj_questionable_pct_change_diff,0.0032992803,-0.0011718406209124232,0.0028848786625539358
rushing_40+_diff,0.0029271245,-0.001262559618642589,0.0010312826065959784
ypp_allowed_diff,0.0040351786,-0.0012668640396059417,0.0030764885554132584
snaps_defense_snaps_pct_change_diff,0.0045740227,-0.0012962036583135327,0.001487350012671342
snaps_offense_snaps_diff,0.0038619468,-0.0013348624617995463,0.0007091379497706924
roster_yahoo_id_rolling3_diff,0.01077886,-0.0014375209002259082,0.0011263511945174224
