scope,season,edge_bin,min_edge,max_edge,n_bets,home_bets,away_bets,wins,losses,pushes,hit_rate,avg_abs_edge_points,avg_signed_edge_points,avg_odds_decimal,avg_odds_american,total_profit,roi
season,2024,0-1,0.0,1.0,58,26,32,26,31,1,0.45614035087719296,0.5382725508951485,-0.07775456613234155,1.9060835199114516,-103.67241379310344,-7.274762647665678,-0.12542694220113237
season,2024,1-2,1.0,2.0,69,33,36,26,41,2,0.3880597014925373,1.5943898197041664,-0.08244039991052976,1.9127334885492042,-101.10144927536231,-16.98907450328188,-0.24621847106205624
season,2024,2-3,2.0,3.0,86,38,48,41,45,0,0.47674418604651164,2.4549039372720896,-0.2746465365139412,1.9151560436768265,-102.46511627906976,-7.523049621655977,-0.08747732118204624
season,2024,3-5,3.0,5.0,57,17,40,31,25,1,0.5535714285714286,3.6929903792388954,-1.4653856256172708,1.9234220291799804,-94.42105263157895,3.621180444070471,0.06352948147492055
season,2024,5-7,5.0,7.0,12,3,9,6,6,0,0.5,5.874599356608919,-2.8678007562050243,1.9292277041104835,-91.16666666666667,-0.42554272477546107,-0.03546189373128842
season,2024,7-10,7.0,10.0,1,0,1,1,0,0,1.0,7.426265423465983,-7.426265423465983,1.8928571428571428,-112.0,0.8928571428571428,0.8928571428571428
season,2024,10+,10.0,,2,1,1,0,2,0,0.0,11.166426191373294,-0.49268515901659615,1.939153439153439,-106.5,-2.0,-1.0
season,2025,0-1,0.0,1.0,70,32,38,35,35,0,0.5,0.5212144369412396,-0.1028964741253406,1.9135569191076092,-81.24285714285715,-3.313529051259339,-0.047336129303704844
season,2025,1-2,1.0,2.0,67,33,34,34,32,1,0.5151515151515151,1.521405493299403,-0.09585456241442712,1.9149347077844516,-91.7910447761194,-0.9235803214194123,-0.013784780916707646
season,2025,2-3,2.0,3.0,70,30,40,35,35,0,0.5,2.4570709374078517,-0.4144400418462794,1.918115764392138,-83.47142857142858,-2.8259406978477495,-0.04037058139782499
season,2025,3-5,3.0,5.0,57,25,32,31,26,0,0.543859649122807,3.8821771943730186,-0.5498423184349118,1.911527452304473,-85.45614035087719,2.3547027946004935,0.041310575343868304
season,2025,5-7,5.0,7.0,15,3,12,7,8,0,0.4666666666666667,5.708494940354572,-3.3795634113866466,1.9130240195197499,-109.73333333333333,-1.7078863165819693,-0.11385908777213129
season,2025,7-10,7.0,10.0,5,3,2,2,3,0,0.4,8.489084889400658,1.3777986683436927,1.9287784679089026,-68.0,-1.1780538302277432,-0.23561076604554865
season,2025,10+,10.0,,0,0,0,0,0,0,,,,,,0.0,
season,2026,0-1,0.0,1.0,3,2,1,0,3,0,0.0,0.44291480375719655,0.39818122418779583,2.0,100.0,-3.0,-1.0
season,2026,1-2,1.0,2.0,10,5,5,4,5,1,0.4444444444444444,1.5841869775437498,-0.1310422914689005,1.9298603499370763,-107.7,-1.302910052910053,-0.1302910052910053
season,2026,2-3,2.0,3.0,7,1,6,3,4,0,0.42857142857142855,2.5112992826361316,-1.777870796206676,1.9355223037831732,-78.57142857142857,-1.1580538302277434,-0.1654362614611062
season,2026,3-5,3.0,5.0,10,0,10,7,3,0,0.7,3.7240567606839257,-3.7240567606839257,1.9053902479982934,-110.7,3.2780191798029588,0.3278019179802959
season,2026,5-7,5.0,7.0,2,0,2,0,2,0,0.0,5.562415645393379,-5.562415645393379,1.9523809523809523,-105.0,-2.0,-1.0
season,2026,7-10,7.0,10.0,0,0,0,0,0,0,,,,,,0.0,
season,2026,10+,10.0,,0,0,0,0,0,0,,,,,,0.0,
